volatilite_par_jour_%;sortie_basse_%;palier1_%;palier2_%;palier3_%;jours_poche_sup_1pct_%;mediane_jour_poche_%;pire_5pct_jour_%;mois_median_poche_%;positions_coupees_%
4.0;-1.0;1.0;2.0;3.0;3.9;-0.133;-0.97;-2.06;73
3.0;-0.5;1.5;2.5;4.0;3.7;0.021;-0.60;-0.01;83
2.0;-1.5;1.0;2.0;3.0;3.7;-0.122;-1.08;-2.40;43
2.0;-0.5;2.0;4.0;6.0;3.5;-0.083;-0.60;-0.45;76
3.0;-1.0;1.0;2.0;3.0;3.5;-0.100;-0.97;-2.02;69
3.0;-0.1;2.0;3.5;4.0;3.3;-0.200;-0.20;1.12;92
2.0;-2.0;0.8;1.5;2.5;3.2;-0.087;-1.16;-2.57;29
5.0;-0.3;1.5;2.5;4.0;3.1;-0.093;-0.40;0.98;89
4.0;-0.3;2.0;3.5;4.0;3.1;-0.093;-0.40;0.84;89
3.0;-0.1;3.0;5.0;8.0;3.0;-0.200;-0.20;1.03;93
3.0;-0.3;2.0;3.5;4.0;2.9;-0.125;-0.40;0.88;87
5.0;-1.5;0.8;1.5;2.5;2.9;-0.064;-1.09;-2.11;61
2.0;-1.5;0.8;1.5;2.5;2.3;-0.067;-1.03;-1.95;42
2.0;-1.0;1.0;2.0;3.0;2.3;-0.100;-0.97;-1.74;59
3.0;-0.1;2.0;4.0;6.0;2.3;-0.200;-0.20;0.76;93
4.0;-0.3;1.5;2.5;4.0;2.2;0.027;-0.40;1.07;88
5.0;-0.1;1.5;2.5;4.0;2.0;0.013;-0.20;2.49;91
5.0;-0.5;1.0;2.0;3.0;1.9;0.000;-0.60;-0.18;82
2.0;-0.3;2.0;4.0;6.0;1.9;-0.151;-0.40;-1.63;85
2.0;-0.1;3.0;5.0;8.0;1.9;-0.200;-0.20;-0.04;91
2.0;-0.5;1.5;2.5;4.0;1.9;-0.063;-0.60;-0.98;77
3.0;-1.0;0.8;1.5;2.5;1.8;-0.060;-0.86;-1.37;67
3.0;-0.3;1.5;2.5;4.0;1.7;-0.093;-0.40;-0.15;88
3.0;-0.5;1.0;2.0;3.0;1.6;-0.100;-0.60;-0.44;82
4.0;-0.5;1.0;2.0;3.0;1.6;-0.100;-0.60;-0.19;82
2.0;-0.3;1.5;2.5;4.0;1.5;-0.063;-0.40;-0.64;84
2.0;-0.3;2.0;3.5;4.0;1.5;-0.087;-0.40;-0.66;84
4.0;-0.1;1.5;2.5;4.0;1.5;-0.093;-0.20;1.36;93
5.0;-0.5;0.8;1.5;2.5;1.3;-0.007;-0.60;0.46;77
5.0;-0.3;1.0;2.0;3.0;1.3;0.060;-0.40;1.72;85
5.0;-1.0;0.8;1.5;2.5;1.3;-0.060;-0.86;-1.76;69
2.0;-1.0;0.8;1.5;2.5;1.3;-0.088;-0.89;-1.74;58
5.0;-0.1;1.0;2.0;3.0;1.2;0.013;-0.20;2.23;89
4.0;-1.0;0.8;1.5;2.5;1.1;-0.060;-0.86;-1.58;69
2.0;-0.5;1.0;2.0;3.0;1.1;-0.091;-0.60;-0.72;75
2.0;-0.1;2.0;3.5;4.0;1.1;-0.200;-0.20;-0.02;92
3.0;-0.5;0.8;1.5;2.5;1.0;-0.093;-0.60;-0.59;79
2.0;-0.1;2.0;4.0;6.0;0.9;-0.200;-0.20;0.13;91
3.0;-0.1;1.5;2.5;4.0;0.8;-0.093;-0.20;0.70;93
3.0;-0.1;1.0;2.0;3.0;0.7;-0.127;-0.20;0.53;92
4.0;-0.3;1.0;2.0;3.0;0.7;0.060;-0.40;1.21;85
4.0;-0.1;1.0;2.0;3.0;0.7;0.013;-0.20;1.51;90
4.0;-0.5;0.8;1.5;2.5;0.7;-0.093;-0.60;-0.43;79
3.0;-0.3;1.0;2.0;3.0;0.6;0.013;-0.40;-0.12;87
4.0;-0.3;0.8;1.5;2.5;0.5;-0.020;-0.40;0.15;84
2.0;-0.3;0.8;1.5;2.5;0.3;-0.025;-0.40;-1.09;83
2.0;-0.3;1.0;2.0;3.0;0.3;-0.041;-0.40;-0.81;84
2.0;-0.1;1.5;2.5;4.0;0.3;-0.200;-0.20;-0.46;92
3.0;-0.3;0.8;1.5;2.5;0.3;-0.020;-0.40;-0.24;85
5.0;-0.3;0.8;1.5;2.5;0.3;-0.020;-0.40;0.75;83
2.0;-0.5;0.8;1.5;2.5;0.2;-0.093;-0.60;-1.48;77
2.0;-0.1;1.0;2.0;3.0;0.2;-0.127;-0.20;-0.10;91
5.0;-0.1;0.8;1.5;2.5;0.1;0.140;-0.20;2.01;87
4.0;-0.1;0.8;1.5;2.5;0.1;-0.033;-0.20;1.09;90
3.0;-0.1;0.8;1.5;2.5;0.0;-0.033;-0.20;0.47;90
2.0;-0.1;0.8;1.5;2.5;0.0;-0.080;-0.20;-0.20;91
